text,true_emotion,predicted_emotion
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness,sadness
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,joy
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,sadness
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,sadness
@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,anger
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
@trashcami this cured my depression,sadness,joy
Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,sadness
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany #sad,sadness,sadness
Season 3 and Charlie is still a prick! #lost,sadness,anger
aaahhhh! a little @OtisRedding to soothe the soul. #music #blues,sadness,joy
This shit hurting my heart 😪 that's how serious it is .,sadness,sadness
you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.,sadness,sadness
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
